#;Name;Type_1;Type_2;Total;HP;Attack;Defense;Sp.Atk;Sp.Def;Speed;Generation;Legendary;Evolution_Status
45;Vileplume;Grass;Poison;490;75;80;85;110;90;50;1;0;Final
46;Paras;Bug;Grass;285;35;70;55;45;55;25;1;0;First
47;Parasect;Bug;Grass;405;60;95;80;60;80;30;1;0;Final
48;Venonat;Bug;Poison;305;60;55;50;40;55;45;1;0;First
49;Venomoth;Bug;Poison;450;70;65;60;90;75;90;1;0;Final
50;Diglett;Ground;;265;10;55;25;35;45;95;1;0;First
51;Dugtrio;Ground;;405;35;80;50;50;70;120;1;0;Final
52;Meowth;Normal;;290;40;45;35;40;40;90;1;0;First
53;Persian;Normal;;440;65;70;60;65;65;115;1;0;Final
54;Psyduck;Water;;320;50;52;48;65;50;55;1;0;First
55;Golduck;Water;;500;80;82;78;95;80;85;1;0;Final
56;Mankey;Fighting;;305;40;80;35;35;45;70;1;0;First
57;Primeape;Fighting;;455;65;105;60;60;70;95;1;0;Final
58;Growlithe;Fire;;350;55;70;45;70;50;60;1;0;First
59;Arcanine;Fire;;555;90;110;80;100;80;95;1;0;Final
60;Poliwag;Water;;300;40;50;40;40;40;90;1;0;First
61;Poliwhirl;Water;;385;65;65;65;50;50;90;1;0;Middle
62;Poliwrath;Water;Fighting;510;90;95;95;70;90;70;1;0;Final
63;Abra;Psychic;;310;25;20;15;105;55;90;1;0;First
64;Kadabra;Psychic;;400;40;35;30;120;70;105;1;0;Middle
65;Alakazam;Psychic;;500;55;50;45;135;95;120;1;0;Final
66;Machop;Fighting;;305;70;80;50;35;35;35;1;0;First
67;Machoke;Fighting;;405;80;100;70;50;60;45;1;0;Middle
68;Machamp;Fighting;;505;90;130;80;65;85;55;1;0;Final
69;Bellsprout;Grass;Poison;300;50;75;35;70;30;40;1;0;First
70;Weepinbell;Grass;Poison;390;65;90;50;85;45;55;1;0;Middle
71;Victreebel;Grass;Poison;490;80;105;65;100;70;70;1;0;Final
72;Tentacool;Water;Poison;335;40;40;35;50;100;70;1;0;First
73;Tentacruel;Water;Poison;515;80;70;65;80;120;100;1;0;Final
74;Geodude;Rock;Ground;300;40;80;100;30;30;20;1;0;First
75;Graveler;Rock;Ground;390;55;95;115;45;45;35;1;0;Middle
76;Golem;Rock;Ground;495;80;120;130;55;65;45;1;0;Final
77;Ponyta;Fire;;410;50;85;55;65;65;90;1;0;First
78;Rapidash;Fire;;500;65;100;70;80;80;105;1;0;Final
79;Slowpoke;Water;Psychic;315;90;65;65;40;40;15;1;0;First
80;Slowbro;Water;Psychic;490;95;75;110;100;80;30;1;0;Final
81;Magnemite;Electric;Steel;325;25;35;70;95;55;45;1;0;First
82;Magneton;Electric;Steel;465;50;60;95;120;70;70;1;0;Final
83;Farfetch'd;Normal;Flying;352;52;65;55;58;62;60;1;0;Single
84;Doduo;Normal;Flying;310;35;85;45;35;35;75;1;0;First
85;Dodrio;Normal;Flying;460;60;110;70;60;60;100;1;0;Final
86;Seel;Water;;325;65;45;55;45;70;45;1;0;First
87;Dewgong;Water;Ice;475;90;70;80;70;95;70;1;0;Final
88;Grimer;Poison;;325;80;80;50;40;50;25;1;0;First
89;Muk;Poison;;500;105;105;75;65;100;50;1;0;Final
90;Shellder;Water;;305;30;65;100;45;25;40;1;0;First
91;Cloyster;Water;Ice;525;50;95;180;85;45;70;1;0;Final
92;Gastly;Ghost;Poison;310;30;35;30;100;35;80;1;0;First
93;Haunter;Ghost;Poison;405;45;50;45;115;55;95;1;0;Middle
94;Gengar;Ghost;Poison;500;60;65;60;130;75;110;1;0;Final
95;Onix;Rock;Ground;385;35;45;160;30;45;70;1;0;First
96;Drowzee;Psychic;;328;60;48;45;43;90;42;1;0;First
97;Hypno;Psychic;;483;85;73;70;73;115;67;1;0;Final
98;Krabby;Water;;325;30;105;90;25;25;50;1;0;First
99;Kingler;Water;;475;55;130;115;50;50;75;1;0;Final
100;Voltorb;Electric;;330;40;30;50;55;55;100;1;0;First
101;Electrode;Electric;;480;60;50;70;80;80;140;1;0;Final
102;Exeggcute;Grass;Psychic;325;60;40;80;60;45;40;1;0;First
103;Exeggutor;Grass;Psychic;520;95;95;85;125;65;55;1;0;Final
104;Cubone;Ground;;320;50;50;95;40;50;35;1;0;First
105;Marowak;Ground;;425;60;80;110;50;80;45;1;0;Final
106;Hitmonlee;Fighting;;455;50;120;53;35;110;87;1;0;Single
107;Hitmonchan;Fighting;;455;50;105;79;35;110;76;1;0;Single
108;Lickitung;Normal;;385;90;55;75;60;75;30;1;0;Single
109;Koffing;Poison;;340;40;65;95;60;45;35;1;0;First
110;Weezing;Poison;;490;65;90;120;85;70;60;1;0;Final
111;Rhyhorn;Ground;Rock;345;80;85;95;30;30;25;1;0;First
112;Rhydon;Ground;Rock;485;105;130;120;45;45;40;1;0;Final
113;Chansey;Normal;;450;250;5;5;35;105;50;1;0;First
114;Tangela;Grass;;435;65;55;115;100;40;60;1;0;Single
115;Kangaskhan;Normal;;490;105;95;80;40;80;90;1;0;Single
116;Horsea;Water;;295;30;40;70;70;25;60;1;0;First
117;Seadra;Water;;440;55;65;95;95;45;85;1;0;Middle
118;Goldeen;Water;;320;45;67;60;35;50;63;1;0;First
119;Seaking;Water;;450;80;92;65;65;80;68;1;0;Final
120;Staryu;Water;;340;30;45;55;70;55;85;1;0;First
121;Starmie;Water;Psychic;520;60;75;85;100;85;115;1;0;Final
122;Mr. Mime;Psychic;Fairy;460;40;45;65;100;120;90;1;0;Single
123;Scyther;Bug;Flying;500;70;110;80;55;80;105;1;0;First
124;Jynx;Ice;Psychic;455;65;50;35;115;95;95;1;0;Single
125;Electabuzz;Electric;;490;65;83;57;95;85;105;1;0;Single
126;Magmar;Fire;;495;65;95;57;100;85;93;1;0;Single
127;Pinsir;Bug;;500;65;125;100;55;70;85;1;0;Single
128;Tauros;Normal;;490;75;100;95;40;70;110;1;0;Single
129;Magikarp;Water;;200;20;10;55;15;20;80;1;0;First
130;Gyarados;Water;Flying;540;95;125;79;60;100;81;1;0;Final
131;Lapras;Water;Ice;535;130;85;80;85;95;60;1;0;Single
132;Ditto;Normal;;288;48;48;48;48;48;48;1;0;Single
133;Eevee;Normal;;325;55;55;50;45;65;55;1;0;First
134;Vaporeon;Water;;525;130;65;60;110;95;65;1;0;Final
135;Jolteon;Electric;;525;65;65;60;110;95;130;1;0;Final
136;Flareon;Fire;;525;65;130;60;95;110;65;1;0;Final
137;Porygon;Normal;;395;65;60;70;85;75;40;1;0;First
138;Omanyte;Rock;Water;355;35;40;100;90;55;35;1;0;First
139;Omastar;Rock;Water;495;70;60;125;115;70;55;1;0;Final
140;Kabuto;Rock;Water;355;30;80;90;55;45;55;1;0;First
141;Kabutops;Rock;Water;495;60;115;105;65;70;80;1;0;Final
142;Aerodactyl;Rock;Flying;515;80;105;65;60;75;130;1;0;Final
143;Snorlax;Normal;;540;160;110;65;65;110;30;1;0;Single
144;Articuno;Ice;Flying;580;90;85;100;95;125;85;1;1;Single
145;Zapdos;Electric;Flying;580;90;90;85;125;90;100;1;1;Single
146;Moltres;Fire;Flying;580;90;100;90;125;85;90;1;1;Single
147;Dratini;Dragon;;300;41;64;45;50;50;50;1;0;First
148;Dragonair;Dragon;;420;61;84;65;70;70;70;1;0;Middle
149;Dragonite;Dragon;Flying;600;91;134;95;100;100;80;1;0;Final
150;Mewtwo;Psychic;;680;106;110;90;154;90;130;1;1;Single
151;Mew;Psychic;;600;100;100;100;100;100;100;1;0;Single
152;Chikorita;Grass;;318;45;49;65;49;65;45;2;0;First
153;Bayleef;Grass;;405;60;62;80;63;80;60;2;0;Middle
154;Meganium;Grass;;525;80;82;100;83;100;80;2;0;Final
155;Cyndaquil;Fire;;309;39;52;43;60;50;65;2;0;First
156;Quilava;Fire;;405;58;64;58;80;65;80;2;0;Middle
157;Typhlosion;Fire;;534;78;84;78;109;85;100;2;0;Final
158;Totodile;Water;;314;50;65;64;44;48;43;2;0;First
159;Croconaw;Water;;405;65;80;80;59;63;58;2;0;Middle
160;Feraligatr;Water;;530;85;105;100;79;83;78;2;0;Final
161;Sentret;Normal;;215;35;46;34;35;45;20;2;0;First
162;Furret;Normal;;415;85;76;64;45;55;90;2;0;First
163;Hoothoot;Normal;Flying;262;60;30;30;36;56;50;2;0;First
164;Noctowl;Normal;Flying;442;100;50;50;76;96;70;2;0;Final
165;Ledyba;Bug;Flying;265;40;20;30;40;80;55;2;0;First
166;Ledian;Bug;Flying;390;55;35;50;55;110;85;2;0;Final
167;Spinarak;Bug;Poison;250;40;60;40;40;40;30;2;0;First
168;Ariados;Bug;Poison;390;70;90;70;60;60;40;2;0;Final
169;Crobat;Poison;Flying;535;85;90;80;70;80;130;2;0;Final
170;Chinchou;Water;Electric;330;75;38;38;56;56;67;2;0;First
171;Lanturn;Water;Electric;460;125;58;58;76;76;67;2;0;Final
172;Pichu;Electric;;205;20;40;15;35;35;60;2;0;Baby
173;Cleffa;Fairy;;218;50;25;28;45;55;15;2;0;Baby
174;Igglybuff;Normal;Fairy;210;90;30;15;40;20;15;2;0;Baby
175;Togepi;Fairy;;245;35;20;65;40;65;20;2;0;Baby
176;Togetic;Fairy;Flying;405;55;40;85;80;105;40;2;0;Final
177;Natu;Psychic;Flying;320;40;50;45;70;45;70;2;0;First
178;Xatu;Psychic;Flying;470;65;75;70;95;70;95;2;0;Final
179;Mareep;Electric;;280;55;40;40;65;45;35;2;0;First
180;Flaaffy;Electric;;365;70;55;55;80;60;45;2;0;Middle
181;Ampharos;Electric;;510;90;75;85;115;90;55;2;0;Final
182;Bellossom;Grass;;490;75;80;95;90;100;50;2;0;Final
183;Marill;Water;Fairy;250;70;20;50;20;50;40;2;0;First
184;Azumarill;Water;Fairy;420;100;50;80;60;80;50;2;0;Final
185;Sudowoodo;Rock;;410;70;100;115;30;65;30;2;0;Single
186;Politoed;Water;;500;90;75;75;90;100;70;2;0;Final
187;Hoppip;Grass;Flying;250;35;35;40;35;55;50;2;0;First
188;Skiploom;Grass;Flying;340;55;45;50;45;65;80;2;0;Middle
189;Jumpluff;Grass;Flying;460;75;55;70;55;95;110;2;0;Final
190;Aipom;Normal;;360;55;70;55;40;55;85;2;0;Single
191;Sunkern;Grass;;180;30;30;30;30;30;30;2;0;First
192;Sunflora;Grass;;425;75;75;55;105;85;30;2;0;Final
193;Yanma;Bug;Flying;390;65;65;45;75;45;95;2;0;Single
194;Wooper;Water;Ground;210;55;45;45;25;25;15;2;0;First
195;Quagsire;Water;Ground;430;95;85;85;65;65;35;2;0;Final
196;Espeon;Psychic;;525;65;65;60;130;95;110;2;0;Final
197;Umbreon;Dark;;525;95;65;110;60;130;65;2;0;Final
198;Murkrow;Dark;Flying;405;60;85;42;85;42;91;2;0;Single
199;Slowking;Water;Psychic;490;95;75;80;100;110;30;2;0;Final
200;Misdreavus;Ghost;;435;60;60;60;85;85;85;2;0;Single
201;Unown;Psychic;;336;48;72;48;72;48;48;2;0;Single
202;Wobbuffet;Psychic;;405;190;33;58;33;58;33;2;0;Single
203;Girafarig;Normal;Psychic;455;70;80;65;90;65;85;2;0;Single
204;Pineco;Bug;;290;50;65;90;35;35;15;2;0;First
205;Forretress;Bug;Steel;465;75;90;140;60;60;40;2;0;Final
206;Dunsparce;Normal;;415;100;70;70;65;65;45;2;0;Single
207;Gligar;Ground;Flying;430;65;75;105;35;65;85;2;0;Single
208;Steelix;Steel;Ground;510;75;85;200;55;65;30;2;0;Final
209;Snubbull;Fairy;;300;60;80;50;40;40;30;2;0;First
210;Granbull;Fairy;;450;90;120;75;60;60;45;2;0;Final
211;Qwilfish;Water;Poison;430;65;95;75;55;55;85;2;0;Single
212;Scizor;Bug;Steel;500;70;130;100;55;80;65;2;0;Final
213;Shuckle;Bug;Rock;505;20;10;230;10;230;5;2;0;Single
214;Heracross;Bug;Fighting;500;80;125;75;40;95;85;2;0;Single
215;Sneasel;Dark;Ice;430;55;95;55;35;75;115;2;0;Single
216;Teddiursa;Normal;;330;60;80;50;50;50;40;2;0;First
217;Ursaring;Normal;;500;90;130;75;75;75;55;2;0;Final
218;Slugma;Fire;;250;40;40;40;70;40;20;2;0;First
219;Magcargo;Fire;Rock;410;50;50;120;80;80;30;2;0;Final
220;Swinub;Ice;Ground;250;50;50;40;30;30;50;2;0;First
221;Piloswine;Ice;Ground;450;100;100;80;60;60;50;2;0;Final
222;Corsola;Water;Rock;380;55;55;85;65;85;35;2;0;Single
223;Remoraid;Water;;300;35;65;35;65;35;65;2;0;First
224;Octillery;Water;;480;75;105;75;105;75;45;2;0;Final
225;Delibird;Ice;Flying;330;45;55;45;65;45;75;2;0;Single
226;Mantine;Water;Flying;465;65;40;70;80;140;70;2;0;Single
227;Skarmory;Steel;Flying;465;65;80;140;40;70;70;2;0;Single
228;Houndour;Dark;Fire;330;45;60;30;80;50;65;2;0;First
229;Houndoom;Dark;Fire;500;75;90;50;110;80;95;2;0;Final
230;Kingdra;Water;Dragon;540;75;95;95;95;95;85;2;0;Final
231;Phanpy;Ground;;330;90;60;60;40;40;40;2;0;First
232;Donphan;Ground;;500;90;120;120;60;60;50;2;0;Final
233;Porygon2;Normal;;515;85;80;90;105;95;60;2;0;Final
234;Stantler;Normal;;465;73;95;62;85;65;85;2;0;Single
235;Smeargle;Normal;;250;55;20;35;20;45;75;2;0;Single
236;Tyrogue;Fighting;;210;35;35;35;35;35;35;2;0;Baby
237;Hitmontop;Fighting;;455;50;95;95;35;110;70;2;0;Final
238;Smoochum;Ice;Psychic;305;45;30;15;85;65;65;2;0;Baby
239;Elekid;Electric;;360;45;63;37;65;55;95;2;0;Baby
240;Magby;Fire;;365;45;75;37;70;55;83;2;0;Baby
241;Miltank;Normal;;490;95;80;105;40;70;100;2;0;Single
242;Blissey;Normal;;540;255;10;10;75;135;55;2;0;Single
243;Raikou;Electric;;580;90;85;75;115;100;115;2;1;Single
244;Entei;Fire;;580;115;115;85;90;75;100;2;1;Single
245;Suicune;Water;;580;100;75;115;90;115;85;2;1;Single
246;Larvitar;Rock;Ground;300;50;64;50;45;50;41;2;0;First
247;Pupitar;Rock;Ground;410;70;84;70;65;70;51;2;0;Middle
248;Tyranitar;Rock;Dark;600;100;134;110;95;100;61;2;0;Final
249;Lugia;Psychic;Flying;680;106;90;130;90;154;110;2;1;Single
250;Ho-oh;Fire;Flying;680;106;130;90;110;154;90;2;1;Single
251;Celebi;Psychic;Grass;600;100;100;100;100;100;100;2;0;Single
252;Treecko;Grass;;310;40;45;35;65;55;70;3;0;First
253;Grovyle;Grass;;405;50;65;45;85;65;95;3;0;Middle
254;Sceptile;Grass;;530;70;85;65;105;85;120;3;0;Final
255;Torchic;Fire;;310;45;60;40;70;50;45;3;0;First
256;Combusken;Fire;Fighting;405;60;85;60;85;60;55;3;0;Middle
257;Blaziken;Fire;Fighting;530;80;120;70;110;70;80;3;0;Final
258;Mudkip;Water;;310;50;70;50;50;50;40;3;0;First
259;Marshtomp;Water;Ground;405;70;85;70;60;70;50;3;0;Middle
260;Swampert;Water;Ground;535;100;110;90;85;90;60;3;0;Final
261;Poochyena;Dark;;220;35;55;35;30;30;35;3;0;First
262;Mightyena;Dark;;420;70;90;70;60;60;70;3;0;Final
263;Zigzagoon;Normal;;240;38;30;41;30;41;60;3;0;First
264;Linoone;Normal;;420;78;70;61;50;61;100;3;0;Final
265;Wurmple;Bug;;195;45;45;35;20;30;20;3;0;First
266;Silcoon;Bug;;205;50;35;55;25;25;15;3;0;Middle
267;Beautifly;Bug;Flying;395;60;70;50;100;50;65;3;0;Final
268;Cascoon;Bug;;205;50;35;55;25;25;15;3;0;Middle
269;Dustox;Bug;Poison;385;60;50;70;50;90;65;3;0;Final
270;Lotad;Water;Grass;220;40;30;30;40;50;30;3;0;First
271;Lombre;Water;Grass;340;60;50;50;60;70;50;3;0;Middle
272;Ludicolo;Water;Grass;480;80;70;70;90;100;70;3;0;Final
273;Seedot;Grass;;220;40;40;50;30;30;30;3;0;First
274;Nuzleaf;Grass;Dark;340;70;70;40;60;40;60;3;0;Middle
275;Shiftry;Grass;Dark;480;90;100;60;90;60;80;3;0;Final
276;Taillow;Normal;Flying;270;40;55;30;30;30;85;3;0;First
277;Swellow;Normal;Flying;430;60;85;60;50;50;125;3;0;Final
278;Wingull;Water;Flying;270;40;30;30;55;30;85;3;0;First
279;Pelipper;Water;Flying;430;60;50;100;85;70;65;3;0;Final
280;Ralts;Psychic;Fairy;198;28;25;25;45;35;40;3;0;First
281;Kirlia;Psychic;Fairy;278;38;35;35;65;55;50;3;0;Middle
282;Gardevoir;Psychic;Fairy;518;68;65;65;125;115;80;3;0;Final
283;Surskit;Bug;Water;269;40;30;32;50;52;65;3;0;First
284;Masquerain;Bug;Flying;414;70;60;62;80;82;60;3;0;Final
285;Shroomish;Grass;;295;60;40;60;40;60;35;3;0;First
286;Breloom;Grass;Fighting;460;60;130;80;60;60;70;3;0;Final
287;Slakoth;Normal;;280;60;60;60;35;35;30;3;0;First
288;Vigoroth;Normal;;440;80;80;80;55;55;90;3;0;Middle
289;Slaking;Normal;;670;150;160;100;95;65;100;3;0;Single
290;Nincada;Bug;Ground;266;31;45;90;30;30;40;3;0;First
291;Ninjask;Bug;Flying;456;61;90;45;50;50;160;3;0;Final
292;Shedinja;Bug;Ghost;236;1;90;45;30;30;40;3;0;Final
293;Whismur;Normal;;240;64;51;23;51;23;28;3;0;First
294;Loudred;Normal;;360;84;71;43;71;43;48;3;0;Middle
295;Exploud;Normal;;490;104;91;63;91;73;68;3;0;Final
296;Makuhita;Fighting;;237;72;60;30;20;30;25;3;0;First
297;Hariyama;Fighting;;474;144;120;60;40;60;50;3;0;Final
298;Azurill;Normal;Fairy;190;50;20;40;20;40;20;3;0;Baby
299;Nosepass;Rock;;375;30;45;135;45;90;30;3;0;First
300;Skitty;Normal;;260;50;45;45;35;35;50;3;0;First
301;Delcatty;Normal;;380;70;65;65;55;55;70;3;0;Final
302;Sableye;Dark;Ghost;380;50;75;75;65;65;50;3;0;Single
303;Mawile;Steel;Fairy;380;50;85;85;55;55;50;3;0;Single
304;Aron;Steel;Rock;330;50;70;100;40;40;30;3;0;First
305;Lairon;Steel;Rock;430;60;90;140;50;50;40;3;0;Middle
306;Aggron;Steel;Rock;530;70;110;180;60;60;50;3;0;Final
307;Meditite;Fighting;Psychic;280;30;40;55;40;55;60;3;0;First
308;Medicham;Fighting;Psychic;410;60;60;75;60;75;80;3;0;Final
309;Electrike;Electric;;295;40;45;40;65;40;65;3;0;First
310;Manectric;Electric;;475;70;75;60;105;60;105;3;0;Final
311;Plusle;Electric;;405;60;50;40;85;75;95;3;0;Single
312;Minun;Electric;;405;60;40;50;75;85;95;3;0;Single
313;Volbeat;Bug;;400;65;73;55;47;75;85;3;0;Single
314;Illumise;Bug;;400;65;47;55;73;75;85;3;0;Single
315;Roselia;Grass;Poison;400;50;60;45;100;80;65;3;0;Single
316;Gulpin;Poison;;302;70;43;53;43;53;40;3;0;First
317;Swalot;Poison;;467;100;73;83;73;83;55;3;0;Final
318;Carvanha;Water;Dark;305;45;90;20;65;20;65;3;0;First
319;Sharpedo;Water;Dark;460;70;120;40;95;40;95;3;0;Final
320;Wailmer;Water;;400;130;70;35;70;35;60;3;0;Middle
321;Wailord;Water;;500;170;90;45;90;45;60;3;0;Final
322;Numel;Fire;Ground;305;60;60;40;65;45;35;3;0;First
323;Camerupt;Fire;Ground;460;70;100;70;105;75;40;3;0;Final
324;Torkoal;Fire;;470;70;85;140;85;70;20;3;0;Single
325;Spoink;Psychic;;330;60;25;35;70;80;60;3;0;First
326;Grumpig;Psychic;;470;80;45;65;90;110;80;3;0;Final
327;Spinda;Normal;;360;60;60;60;60;60;60;3;0;Single
328;Trapinch;Ground;;290;45;100;45;45;45;10;3;0;First
329;Vibrava;Ground;Dragon;340;50;70;50;50;50;70;3;0;Middle
330;Flygon;Ground;Dragon;520;80;100;80;80;80;100;3;0;Final
331;Cacnea;Grass;;335;50;85;40;85;40;35;3;0;First
332;Cacturne;Grass;Dark;475;70;115;60;115;60;55;3;0;Final
333;Swablu;Normal;Flying;310;45;40;60;40;75;50;3;0;First
334;Altaria;Dragon;Flying;490;75;70;90;70;105;80;3;0;Final
335;Zangoose;Normal;;458;73;115;60;60;60;90;3;0;Single
336;Seviper;Poison;;458;73;100;60;100;60;65;3;0;Single
337;Lunatone;Rock;Psychic;440;70;55;65;95;85;70;3;0;Single
338;Solrock;Rock;Psychic;440;70;95;85;55;65;70;3;0;Single
339;Barboach;Water;Ground;288;50;48;43;46;41;60;3;0;First
340;Whiscash;Water;Ground;468;110;78;73;76;71;60;3;0;Final
341;Corphish;Water;;308;43;80;65;50;35;35;3;0;First
342;Crawdaunt;Water;Dark;468;63;120;85;90;55;55;3;0;Final
343;Baltoy;Ground;Psychic;300;40;40;55;40;70;55;3;0;First
344;Claydol;Ground;Psychic;500;60;70;105;70;120;75;3;0;Final
345;Lileep;Rock;Grass;355;66;41;77;61;87;23;3;0;First
346;Cradily;Rock;Grass;495;86;81;97;81;107;43;3;0;Final
347;Anorith;Rock;Bug;355;45;95;50;40;50;75;3;0;First
348;Armaldo;Rock;Bug;495;75;125;100;70;80;45;3;0;Final
349;Feebas;Water;;200;20;15;20;10;55;80;3;0;First
350;Milotic;Water;;540;95;60;79;100;125;81;3;0;Final
351;Castform;Normal;;420;70;70;70;70;70;70;3;0;Single
352;Kecleon;Normal;;440;60;90;70;60;120;40;3;0;Single
353;Shuppet;Ghost;;295;44;75;35;63;33;45;3;0;First
354;Banette;Ghost;;455;64;115;65;83;63;65;3;0;Final
355;Duskull;Ghost;;295;20;40;90;30;90;25;3;0;First
356;Dusclops;Ghost;;455;40;70;130;60;130;25;3;0;Final
357;Tropius;Grass;Flying;460;99;68;83;72;87;51;3;0;Single
358;Chimecho;Psychic;;425;65;50;70;95;80;65;3;0;Single
359;Absol;Dark;;465;65;130;60;75;60;75;3;0;Single
360;Wynaut;Psychic;;260;95;23;48;23;48;23;3;0;Baby
361;Snorunt;Ice;;300;50;50;50;50;50;50;3;0;First
362;Glalie;Ice;;480;80;80;80;80;80;80;3;0;Final
363;Spheal;Ice;Water;290;70;40;50;55;50;25;3;0;First
364;Sealeo;Ice;Water;410;90;60;70;75;70;45;3;0;Middle
365;Walrein;Ice;Water;530;110;80;90;95;90;65;3;0;Final
366;Clamperl;Water;;345;35;64;85;74;55;32;3;0;First
367;Huntail;Water;;485;55;104;105;94;75;52;3;0;Middle
368;Gorebyss;Water;;485;55;84;105;114;75;52;3;0;Final
369;Relicanth;Water;Rock;485;100;90;130;45;65;55;3;0;Single
370;Luvdisc;Water;;330;43;30;55;40;65;97;3;0;Single
371;Bagon;Dragon;;300;45;75;60;40;30;50;3;0;First
372;Shelgon;Dragon;;420;65;95;100;60;50;50;3;0;Middle
373;Salamence;Dragon;Flying;600;95;135;80;110;80;100;3;0;Final
374;Beldum;Steel;Psychic;300;40;55;80;35;60;30;3;0;Middle
375;Metang;Steel;Psychic;420;60;75;100;55;80;50;3;0;Middle
376;Metagross;Steel;Psychic;600;80;135;130;95;90;70;3;0;Final
377;Regirock;Rock;;580;80;100;200;50;100;50;3;1;Single
378;Regice;Ice;;580;80;50;100;100;200;50;3;1;Single
379;Registeel;Steel;;580;80;75;150;75;150;50;3;1;Single
380;Latias;Dragon;Psychic;600;80;80;90;110;130;110;3;1;Single
381;Latios;Dragon;Psychic;600;80;90;80;130;110;110;3;1;Single
382;Kyogre;Water;;670;100;100;90;150;140;90;3;1;Single
383;Groudon;Ground;;670;100;150;140;100;90;90;3;1;Single
384;Rayquaza;Dragon;Flying;680;105;150;90;150;90;95;3;1;Single
385;Jirachi;Steel;Psychic;600;100;100;100;100;100;100;3;1;Single
386;Deoxys;Psychic;;600;50;150;50;150;50;150;3;1;Single
